id;name;hours;max consecutive hours;grade
1;Γλωσσική Διδασκαλεία;3;1;Α
2;Νεοελληνική Λογοτεχνία;2;1;Α
3;Αρχαία Ελληνική Γλώσσα;2;1;Α
4;Αρχαία Ελληνικά Κείμενα από Μετάφραση;2;1;Α
5;Μαθηματικά;4;1;Α
6;Φυσική;1;1;Α
7;Βιολογία;1;1;Α
8;Γεωλογία - Γεωγραφία;1;1;Α
9;Οικιακή Οικονομία;2;1;Α
10;Ιστορία;2;1;Α
11;Θρησκευτικά;2;1;Α
12;Αγγλικά;2;1;Α
13;Ισπανικά;2;1;Α
14;Φυσική Αγωγή;2;1;Α
15;Τεχνολογία;1;1;Α
16;Πληροφορική;1;1;Α
17;Μουσική;1;1;Α
18;Καλλιτεχνικά;1;1;Α
19;Γλωσσική Διδασκαλεία;2;1;Β
20;Νεοελληνική Λογοτεχνία;2;1;Β
21;Αρχαία Ελληνική Γλώσσα;2;1;Β
22;Αρχαία Ελληνικά Κείμενα από Μετάφραση;2;1;Β
23;Μαθηματικά;4;1;Β
24;Φυσική;2;1;Β
25;Χημεία;1;1;Β
26;Βιολογία;1;1;Β
27;Γεωλογία - Γεωγραφία;2;1;Β
28;Ιστορία;2;1;Β
29;Θρησκευτικά;2;1;Β
30;Αγγλικά;2;1;Β
31;Ισπανικά;2;1;Β
32;Φυσική Αγωγή;2;1;Β
33;Τεχνολογία;1;1;Β
34;Πληροφορική;1;1;Β
35;Μουσική;1;1;Β
36;Καλλιτεχνικά;1;1;Β
37;Γλωσσική Διδασκαλεία;2;1;Γ
38;Νεοελληνική Λογοτεχνία;2;1;Γ
39;Αρχαία Ελληνική Γλώσσα;2;1;Γ
40;Αρχαία Ελληνικά Κείμενα από Μετάφραση;2;1;Γ
41;Μαθηματικά;4;1;Γ
42;Φυσική;2;1;Γ
43;Χημεία;1;1;Γ
44;Βιολογία;1;1;Γ
45;Ιστορία;2;1;Γ
46;Κοινωνική και Πολιτική Αγωγή;2;1;Γ
47;Θρησκευτικά;2;1;Γ
48;Αγγλικά;2;1;Γ
49;Ισπανικά;2;1;Γ
50;Φυσική Αγωγή;2;1;Γ
51;Τεχνολογία;1;1;Γ
52;Πληροφορική;1;1;Γ
53;Μουσική;1;1;Γ
54;Καλλιτεχνικά;1;1;Γ
